title,authors,date_publish,maintext,url,newspaper
Alexander Zverev: Marching Band bläst Olympiasieger in die 3. Runde,['SEBASTIAN KAYSER'],2023-06-01 21:52:28,"Sascha-Rufe und Blasmusik!
Das reichte für Alexander Zverev (26), um in die 3. Runde der French Open einzuziehen. In Paris bezwang der Olympiasieger den Slowaken Alex Molcan (25) 6:4, 6:2, 6:1. Am Sonnabend trifft der Hamburger auf seinen bislang härtesten Kontrahenten, den Amerikaner Frances Tiafoe (25), die Nummer 12 der Welt.
„Ich war so nervös heute, aber ihr habt mir so sehr geholfen. Alle wussten, was letztes Jahr hier geschah und ich bin glücklich, nun auf diesem Court gewonnen zu haben“, sagte Zverev in Richtung des Publikums.
Die Partie war erst am späten Mittwochabend vom drittgrößten Platz, dem Court Simonne Mathieu, auf den Centre Court Philippe Chatrier verlegt worden. Grund war die Verletzung des Franzosen Gael Monfils (36), der zurückzog und eigentlich das Hauptprogramm gestalten sollte.
So kehrte Zverev eher zufällig und früher als gedacht nach 363 Tagen auf den Platz zurück, auf dem sich das größte Drama in seiner sportlichen Laufbahn abspielte. Am 3. Juni 2022 war er im Halbfinale der French Open gegen Rafael Nadal (36) böse umgeknickt, riss sich sieben Bänder im Knöchel und fiel sieben Monate aus.
Das arbeitet immer noch in ihm. „Ich war froh, dass die Partie vor unserem Spiel zu früh beendet war. So bin ich vorher nochmal auf den Platz, um ihn zu sehen. Letztlich machte es mir Spaß, hier zu spielen. Es war eine perfekte Rückkehr.“
In der Partie gegen Molcan wurde dem zweimaligen Weltmeister gehörig der Marsch geblasen. Nicht aus der eigenen Box, sondern von der Tribüne. Da hatte sich eine Art Marching Band breit gemacht mit Großer Trommel, Trompeten und Flügelhorn.
Wenn es mal keine melodische Einlage gab, feuerten die in weißen T-Shirts und roten Basecaps gekleideten Stimmungsmacher Zverev mit „Sascha, Sascha“-Rufen an (Kurzform von Alex – d. Red.). Das half.
Inzwischen nur noch die Nummer 27 der Welt, kämpft er sich Stück für Stück zurück in die Weltspitze. Jeder Sieg ist dabei ungeheuer wichtig, gerade der an der Stelle des Dramas. Diese Rückkehr meisterte er mit Bravour.
Als er den Platz betrat, musste er über die Stelle laufen, an der er vor einem Jahr schreiend vor Schmerzen lag. Doch er schaute nach vorn auf seine Bank und bereitete sich wie immer auf das Match vor. Von besonderer Emotionalität keine Spur.",https://www.bild.de/sport/mehr-sport/tennis/alexander-zverev-marching-band-blaest-olympiasieger-in-die-3-runde-84151030.bild.html,bild.de
GNTM 2023: Schlüpfer-Schummel! Heidi erklärt ihre Tanga-Taktik,['Nora Henze'],2023-06-01 21:26:21,"Dieses Höschen wurde zum Hingucker.
So langsam wird es eng auf dem Weg zum GNTM-Finale. Am Donnerstagabend kämpften die verbliebenen acht Kandidatinnen um das Ticket in die nächste Runde und mussten am Ende der Show besonders heftig bibbern: Heidi Klum (50) hatte sich nämlich entschlossen, gleich zwei Model-Anwärterinnen nach Hause zu schicken.
Für Heidi selbst wurde die aktuelle Folge zur Geburtstagsausgabe: Sie feierte am Donnerstag ihren 50. Geburtstag. Im Gegensatz zu ihren teils sehr angespannten „Meeedchen“ war sie in Partystimmung, tanzte ausgelassen in Las Vegas und bot den Zuschauern pikante Dessous-Einblicke.",https://www.bild.de/bild-plus/unterhaltung/tv/tv/gntm-2023-schluepfer-schummel-heidi-erklaert-ihre-tanga-taktik-84148528.bild.html,bild.de
Johann Wolfgang Goethe als Comic: Das Leben des Dichters in Bildern,['Laif Karl'],2023-06-01 21:26:05,"Erfurt (Thüringen) – Nach Martin Luther (1483 – 1546) und Udo Lindenberg (77) wird jetzt auch Johann Wolfgang von Goethe (1749 – 1832) zur Comicfigur!
Texterin Ulrike Albers (56) und Zeichner Johannes Sauer (70) erzählen seit über zehn Jahren deutsche Geschichte in Comicform . Bisher haben die beiden Niedersachsen schon 30 Comichefte auf den Markt gebracht.
Albers bezeichnet ihr Genre als „Geschichts-Komik“ und bei deutschen Persönlichkeiten käme man an Goethe nicht vorbei. Doch in dem neuen Heft soll vor allem der Mensch im Vordergrund stehen. „Wir wollten den Goethe zeigen, der immer neugierig geblieben ist, nicht nur Gedichte geschrieben hat“, so die Texterin.
Das Comicheft (Auflage 5000 Stück) ist 55 Seiten lang, erzählt die Lebensgeschichte Goethes, u. a. von seiner Arbeit am Hof des Weimarischen Herzogs (ab 1775) und seiner Italienreise (1786 – 1788).",https://www.bild.de/regional/thueringen/thueringen-aktuell/johann-wolfgang-goethe-als-comic-das-leben-des-dichters-in-bildern-84147594.bild.html,bild.de
Relegations-Wahnsinn!: Bei diesem Video geht Stuttgart steil,[],2023-06-01 20:57:20,"Mehr zum Video anzeigen
Bei diesem Video geht Stuttgart steil! Und dem HSV hilft nur ein Aufstiegs-Wunder! Nur vier Tage nach dem Drama in Sandhausen, als Fans und Spieler schon den direkten Aufstieg in die Bundesliga feierten, kassieren die Hamburger im Relegations-Hinspiel in Stuttgart eine 0:3-Klatsche. Die komplette Bundesliga mit BILDplus! Alle Highlights aus 617 Saisonspielen! Direkt nach Abpfiff als Video! 2x pro Spieltag eine moderierte Highlight-Show!",https://www.bild.de/bild-plus/video/clip/sport-videos/relegations-wahnsinn-bei-diesem-video-geht-stuttgart-steil-84139362.bild.html,bild.de
Relegation: VfB Stuttgart - HSV im Live-Ticker zum Nachlesen,['BILD'],2023-06-01 20:39:13,,https://www.bild.de/sport/fussball/fussball/relegation-vfb-stuttgart-hsv-im-live-ticker-84113642.bild.html,bild.de
Neue Verwirrung in der Ampel: Was ist jetzt mit dem 2. Heiz-Hammer?,['Josef forster und Carl-Victor wachs'],2023-06-01 20:36:55,"Es bewegt sich was beim Heiz-Hammer!
Am Freitag kündigte Wirtschaftsminister Robert Habeck (53, Grüne) an, dass er zu deutlichen Nachbesserungen bei seinem ersten Heiz-Gesetz bereit sei. Es sieht bislang z.B. ein Einbauverbot für Öl- und Gasheizungen ab 2024 vor. Habeck will u.a. den Termin um einige Jahre verschieben.
Nun gibt es auch Bewegung beim zweiten Heiz-Hammer. Mit diesem Gesetz will die Regierung Bundesländern und Kommunen die konkrete Planung für Öko-Fernwärmenetze ermöglichen.
Am Dienstagabend ließ Bauministerin Klara Geywitz (47, SPD) ankündigen: Der Gesetzentwurf ist fertig! Er wird in Kürze an die anderen Minister und Verbände verschickt. Bis Ende Juni soll die Regierung den Entwurf verabschieden.
Mit dem Gesetz sollen Länder und Kommunen die Möglichkeit erhalten, zahlreiche Daten von jedem Haus zu erfassen („gebäudescharf“). Darunter den jährlichen Strom- und Energieverbrauch, das Alter des Heizkessels und den Dämm-Zustand des Gebäudes.
Ampel-Zoff um Heizdaten-Erhebung
Aufatmen bei SPD und Grünen – zunächst. Denn: Das Heizdaten-Gesetz gilt als Voraussetzung, damit Deutschland ab 2045 klimaneutral heizen kann.
Aber: Unter Dach und Fach sind die beiden Heiz-Hämmer noch nicht! Am Mittwoch gab es vor allem von der FDP neue Kritik.
Aus Kreisen des Finanzministeriums hieß es: Innerhalb der Regierung ist man von einer inhaltlichen Einigung beim Heizdaten-Gesetz weit entfernt. Es gebe weiterhin fachliche Bedenken.
Ähnliche Töne aus der FDP-Fraktion. Fraktionsvize Christoph Meyer (47) zu BILD: „Der Gesetzentwurf von Klara Geywitz ist in einem sehr frühen Stadium und wird noch im Kabinett diskutiert werden. Jetzt sollen erst einmal Länder, Kommunen und Verbände den Entwurf kommentieren, das ist ein ganz normaler Vorgang.“ Danach werde der Entwurf überarbeitet und in der Regierung geeint.
In Bayern sammeln Schornsteinfeger Heizdaten
Massive Kritik kommt auch aus der Union. CDU-Vize-Generalin Christina Stumpp (35) zu BILD: „Erst scheitert Robert Habeck mit seinem Heizungsgesetz an der eigenen Regierung. Jetzt kommt mit seinem Überwachungsgesetz der nächste Hammer.“ Die Bürger, so Stumpp, sollen auf ihren individuellen Wärme- und Stromverbrauch durchleuchtet werden.
Heißt: „Für die ohnehin schon überlasteten Kommunen bedeutet dies ein zusätzlicher Berg an Bürokratie.“ Stumpp will das Gesetz unbedingt stoppen.
CSU-Generalsekretär Martin Huber (45) sagte zu BILD, die Ampel wolle „ein Bürokratiemonster schaffen und die Menschen ausspionieren“.
Was Huber verschweigt: In Bayern werden Heiz-Daten schon seit Längerem gesammelt. Dort führen die Schornsteinfeger penibel Buch über Vor- und Familienname sowie Anschrift des Eigentümers und Mieters, über die Art der Anlage, Brennstoff, Nennwärmeleistung und Alter der Anlage. Außerdem werden Angaben über den Betrieb der Anlage, ihren Standort und ihre Zuweisung zur Abgasanlage erfasst.
Fast jeder zweite Bundesbürger hat Probleme mit dem Heizdaten-Gesetz der Ampel-Regierung. Laut INSA-Umfrage für BILD lehnen 46 Prozent die Sammlung detaillierter Informationen z.B. über Energie- und Stromverbrauch ab. Nur 27 Prozent finden das in Ordnung.",https://www.bild.de/politik/inland/politik-inland/neue-verwirrung-in-der-ampel-was-ist-jetzt-mit-dem-2-heiz-hammer-84129384.bild.html,bild.de
Verteidiger am Haken: Preußen fischt nach Zander,['Von JOACHIM SCHUTH'],2023-06-01 20:24:02,"Einer der Kandidaten ist nach BILD-Informationen Luca Zander (27). Der Rechtsverteidiger von Zweitligist St. Pauli kam in der abgelaufenen Saison zwar auf 20 Pflichtspiele, stand dabei aber nicht einmal in der Startelf. Nur Kurz-Einsätze, der längste davon über 45 Minuten beim 2:2 gegen Fürth. Vor dem Heimfinale am vergangenen Sonntag gegen den KSC (1:1) wurde Zander nach vier Jahren beim Kiez-Club offiziell verabschiedet.
Seine Zukunft – noch offen. Für die Preußen wäre der aus der Jugend von Werder Bremen hervorgegangene Abwehrmann sicherlich ein „dicker Fisch“. Aber gerade das macht's so schwierig. Denn die Adlerträger sind nicht die einzigen, die den Haken nach ihm ausgeworfen haben.
Entsprechend bedeckt verhält sich sein Berater Sören Gerster (Agentur Sports Impuls/Bremen) auf BILD-Nachfrage: „Wir haben vier oder fünf Optionen, sind mitten in den Gesprächen. Ich äußere mich aber nicht dazu, ob auch die Preußen darunter sind.“ Doch sein Zusatz – „fragen sie da besser Peter Niemeyer“ – lässt das zumindest erahnen. Münsters Sportdirektor schweigt allerdings ebenfalls.
Fakt ist: Die „Schwarz-Weiß-Grünen“ suchen händeringend auf dieser Position nach Ersatz für Alexander Langlitz (32), der bekanntlich seine Laufbahn beendet hat. Zander, dessen Profi-Karriere bei Werder Bremen II startete und der insgesamt 114 Zweit- und 45 Drittliga-Partien absolvierte, würde vom Alter und seiner Erfahrung perfekt ins Preußen-Raster passen. Blöde nur, dass die Konkurrenz womöglich zahlungskräftiger ist...
Alternativ beschäftigen sich die Preußen deshalb auch mit Lauterns Dominik Schad (26), wie Zander hinten rechts zu Hause. Der gebürtige Aschaffenburger gehörte zwar in 31 Ligen-Spielen zum Kader, lief aber tatsächlich nur sechsmal im Trikot der „Roten Teufel“ auf. 318 Gesamtminuten. Da Trainer Dirk Schuster (55) künftig definitiv ohne ihn plant, wurde sein Vertrag nicht verlängert. Bei Preußen könnte Schad einen neuen Anlauf nehmen .
Vielleicht sogar gemeinsam mit einem (Noch-)Team-Kollegen – Lars Büning. Auch der lange Innenverteidiger (25/1. 88 m) kann den „Betze“ verlassen, ist ablösefrei und auf dem Zettel der Preußen. Dessen Chefcoach Sascha Hildmann (51) stammt ja selbst aus Kaiserslautern, dürfte sich deshalb dort bestens auskennen. Und als frisch gebackener Meister-Trainer zudem die nötige Überzeugungskraft haben, um Schad und/oder Büning auch für die Mission „Klassenerhalt mit Münster“zu begeistern.",https://www.bild.de/sport/fussball/fussball/verteidiger-am-haken-preussen-fischt-nach-zander-84150740.bild.html,bild.de
Nach Insolvenz-Schock: Zahlungen an Schlemmermeyer-Angestellte gesichert,['BILD'],2023-06-01 20:23:22,"München – Nach dem Insolvenz-Schock die erste gute Nachricht für die Mitarbeiter.
Das Insolvenzgeld für die rund 130 Angestellten der insolventen Feinkostkette Schlemmermeyer kann fließen. Der Zustimmungsbescheid der Agentur für Arbeit für die Vorfinanzierung sei angekommen, sagte ein Sprecher des vorläufigen Insolvenzverwalters Michael Jaffé am Donnerstag.
Damit könnte jetzt das noch fehlende Geld für den Mai ausgezahlt werden, und auch die Zahlungen für Juni und Juli seien sichergestellt. Schlemmermeyer hatte vergangene Woche Insolvenzantrag gestellt, der Verkauf in den Filialen geht aber weiter.",https://www.bild.de/regional/muenchen/muenchen-regional-politik-und-wirtschaft/nach-insolvenz-schock-zahlungen-an-schlemmermeyer-angestellte-gesichert-84151496.bild.html,bild.de
"Freitag vor dem DFB-Pokal-Finale in Berlin: Völler, Eberl & Krösche bei BILD100Sport",['BILD'],2023-06-01 20:16:00,"Es ist der traditionelle Startschuss für DFB-Pokal-Finale in Berlin!
Bei der Veranstaltung BILD100Sport am Freitag Mittag bei Axel Springer kommt es schon zum ersten Duell zwischen den Finalisten Eintracht Frankfurt und RB Leipzig. Die Top-Manager Markus Krösche (42) und Max Eberl (49) sind gemeinsam auf der Bühne und diskutieren - auch über den freien Vorstands-Posten beim FC Bayern München...?
Der perfekte Gast zur Lage der Fußball-Nation: Rudi Völler (63), Weltmeister 1990, Fan-Liebling und neuer Sport-Direktor der Nationalmannschaft.
Über die Special Olympics in Berlin (17. bis 25. Juni) werden Fußball-Trainerin Sarah Splinter (36) und ihre Spielerin Elisabeth Woyke (40) reden. Rennfahrerin Laura-Marie Geissler (24) trifft auf die eRacing-Content-Creatorin Stefanie Kasseckert.",https://www.bild.de/sport/2023/sport/freitag-vor-dem-dfb-pokal-finale-in-berlin-voeller-eberl-kroesche-bei-bild100spo-84144458.bild.html,bild.de
Blasmusik zum Neustart des A380: Airbus-Riese hebt wieder in München ab,['BILD'],2023-06-01 20:14:16,"München – Das größte Passagierflugzeug der Welt startet wieder aus München – mit Blasmusik!
Nach drei Jahren Pause hat die Lufthansa den Linienbetrieb mit dem Airbus A380 wieder aufgenommen. Die erste Maschine startete am Donnerstag – nach einer Verabschiedung mit Blasmusik und Lebkuchenherzen für alle Passagiere – um 15.35 Uhr von München nach Boston. Sie sei fast ausgebucht gewesen, sagte Unternehmenssprecherin Bettina Rittberger.
Die Lufthansa will dieses Jahr vier A380 in München stationieren, zwei weitere sollen im Winter als Reserve dazukommen. Im Juni ist Boston das einzige Ziel, ab dem 4. Juli kommt New York dazu. Mit dem Wechsel zum Winterflugplan im Oktober fliegen die Maschinen mit 509 Plätzen dann stattdessen nach Los Angeles und Bangkok.",https://www.bild.de/regional/muenchen/muenchen-regional-politik-und-wirtschaft/blasmusik-zum-neustart-des-a380-airbus-riese-hebt-wieder-in-muenchen-ab-84151454.bild.html,bild.de
